Company Name,Ticker,Zacks Rank,Last Close,Market Cap (mil),This Yr`s Est.d Growth (F(1)/F(0)),% Change Q1 Est. (4 weeks),Zacks Industry Rank,Avg Volume
"Altimmune","ALT","2","4.17","435.11","25.97","21.6","85","2914617"
"Aveanna Healthcare","AVAH","2","8.45","1765.3","670.83","21.21","85","1711388"
"Erasca","ERAS","2","2.58","731.98","36.23","6.98","88","1246752"
"Hanmi Financial","HAFC","2","27.03","809.69","23.09","5.47","10","187348"
"Healthcare Services Group","HCSG","2","17.35","1222.4","69.81","4.55","54","778575"
"Heritage Financial","HFWA","2","22.22","754.52","15.14","2.4","54","185041"
"Horace Mann Educators","HMN","2","46.34","1885.34","46.23","2.87","31","254419"
"Lexeo Therapeutics, Inc.","LXEO","2","9.04","659.8","34.79","29.08","85","1398765"
"NB Bancorp, Inc.","NBBK","2","19.29","768.25","45.61","4.55","49","300176"
"NGL Energy Partners","NGL","2","9.83","1235.85","204","28.57","90","470675"
"The Pennant Group","PNTG","2","24.9","861.38","22.34","3.23","85","351789"
"Rapport Therapeutics, Inc.","RAPP","2","24.37","1161.5","26.32","13.72","88","381065"
"The Real Brokerage","REAX","2","3.7","783.66","67.86","16.67","76","1648843"
"Rezolute","RZLT","2","9.87","915.22","16.33","27.27","88","1608770"
"Sana Biotechnology","SANA","2","3.99","1062.8","25.59","17.68","88","4499970"
"Sight Sciences","SGHT","2","7.11","375.92","12.12","28.77","67","246994"
"Telos","TLS","2","5.85","431.46","95.97","12.5","73","1099208"
"Tango Therapeutics","TNGX","2","8.17","1099.63","23.67","10.44","88","4548208"
"TriMas","TRS","2","31.24","1269.77","26.06","3.36","12","648834"
"WisdomTree, Inc.","WT","2","11.23","1580.23","25","6.64","73","2977248"
"X4 Pharmaceuticals","XFOR","2","3.66","320.02","49.07","34.47","88","1739137"
