Company Name,Ticker,Market Cap (mil),Zacks Rank,Div. Yield %,% Change Q1 Est. (4 weeks),Beta,Sector
"Ardagh Metal Packaging","AMBP","2223.44","2","10.75","10",".55","Industrial Products"
"AngloGold Ashanti PLC","AU","35236.32","1","3.81","1.81",".48","Basic Materials"
"Banco De Chile","BCH","18657.86","2","4.25","2.22",".28","Finance"
"Cullen/Frost Bankers","CFR","7889.69","2","3.24","6.55",".74","Finance"
"Grupo Cibest S.A. - Sponsored ADR","CIB","14581.3","1","8.02","20.19",".95","Conglomerates"
"CNA Financial","CNA","12580.58","2","3.96","11.11",".5","Finance"
"Canadian Natural Resources Limited","CNQ","68600.29","1","5.19","1.14",".96","Oils-Energy"
"Digital Realty Trust","DLR","54620.18","2","3.07","1.36",".96","Finance"
"DANSKE BANK","DNKEY","37190.68","2","3.39","4.04",".72","Finance"
"Eni","E","62370.45","1","4.56","6.29",".87","Oils-Energy"
"First Hawaiian","FHB","3050.93","2","4.22","5.19",".91","Finance"
"Federated Hermes","FHI","3793.59","1","2.78","4.77",".83","Finance"
"Fulton Financial","FULT","3205.54","2","4.06","4.17",".88","Finance"
"HSBC","HSBC","236846.53","2","2.87","11.54",".64","Finance"
"IDACORP","IDA","6974.54","2","2.73","1.29",".59","Utilities"
"Coca Cola Femsa","KOF","144722.14","2","4.18","1.56",".61","Consumer Staples"
"The Bank of N.T. Butterfield & Son Limited","NTB","2183.96","1","4.35","5.04",".68","Finance"
"Omnicom Group","OMC","14440.96","2","3.74","2.64",".94","Business Services"
"OMV","OMVKY","18340.37","2","4.14","5.71",".22","Oils-Energy"
"Plains Group","PAGP","3599.58","2","8.36","2.08",".7","Oils-Energy"
"Park National","PRK","2490.36","2","2.76","1.22",".76","Finance"
"Radian Group","RDN","4747.54","1","2.91","3.33",".81","Finance"
"Repsol","REPYY","20860.71","2","5.13","19.4",".62","Oils-Energy"
"Reynolds Consumer Products","REYN","5113.11","2","3.78","6.36",".58","Consumer Discretionary"
"Swedbank","SWDBY","34265.95","1","6.66","15.52",".7","Finance"
"Telefonica","TEF","23474.47","2","6.03","40",".48","Utilities"
"TIM","TIMB","11101.81","1","4.14","7.69",".62","Computer and Technology"
"United Bankshares","UBSI","5212.26","2","3.99","2.8",".83","Finance"
"USA Compression Partners","USAC","2916.23","1","8.83","8.33",".36","Oils-Energy"
"VALE","VALE","54876.6","1","6.04","1.09",".82","Basic Materials"
