Company Name,Ticker,Zacks Rank,Last Close,Market Cap (mil),This Yr`s Est.d Growth (F(1)/F(0)),% Change Q1 Est. (4 weeks),Zacks Industry Rank,Avg Volume
"Ares Commercial Real Estate","ACRE","2","4.98","274.03","48.17","100","94","460061"
"Altimmune","ALT","2","5.1","532.15","25.97","21.6","69","3266804"
"American Resources","AREC","2","2.84","287.96","34.62","21.74","92","10102163"
"Aveanna Healthcare","AVAH","2","9.04","1888.56","795.83","48.49","40","1298628"
"Biohaven Ltd.","BHVN","2","9.68","1024.68","21.33","14.41","87","6430752"
"Ballard Power Systems","BLDP","2","2.68","805.98","41.75","15.32","60","7193273"
"Cimpress","CMPR","2","69.14","1705.81","504.02","3.7","14","215063"
"Digi International","DGII","2","40.9","1522.81","13.18","5.77","40","225039"
"Guardian Pharmacy Services, Inc.","GRDN","2","28.68","1816.04","1750","8","69","383236"
"Horizon Bancorp IN","HBNC","2","16.42","840.99","42.55","2.76","51","290014"
"Healthcare Services Group","HCSG","2","18.6","1310.47","69.81","4.55","58","655105"
"Heritage Financial","HFWA","2","23.3","791.19","17.12","1.79","94","196138"
"Horace Mann Educators","HMN","2","45.23","1840.18","46.23","2.87","37","262345"
"Heritage Commerce Corp","HTBK","2","10.77","660.02","32.58","11.33","26","392659"
"Jamf","JAMF","2","12.89","1717.24","39.34","2.27","69","5568636"
"Jade Biosciences, Inc.","JBIO","2","12.15","558.95","96.39","17.12","87","241144"
"James River Group","JRVR","2","5.73","263.38","198.13","14.81","37","234846"
"NB Bancorp, Inc.","NBBK","2","19.32","769.45","48.25","6.52","51","403746"
"NETGEAR","NTGR","2","25.38","720.86","126.1","850","46","553395"
"OI Glass","OI","2","12.64","1941.44","96.6","86.21","14","1959745"
"Orion Group","ORN","2","9.3","371.08","23.33","28.57","12","363218"
"Pacific Biosciences of California","PACB","2","2.5","754.77","34.94","3.03","81","10663758"
"Pagaya Technologies Ltd.","PGY","2","23.47","1886.89","273.49","7.14","72","4604108"
"The Pennant Group","PNTG","2","26.8","927.11","22.34","6.67","40","298161"
"The Real Brokerage","REAX","2","3.93","832.37","67.86","16.67","69","1741604"
"Redwood Trust","RWT","2","5.13","649.88","51.92","26.47","94","1276823"
"Rezolute","RZLT","2","9.77","905.95","16.33","27.27","87","1457498"
"Sight Sciences","SGHT","2","7.49","396.01","12.12","28.77","81","223725"
"Stock Yards Bancorp","SYBT","2","65.64","1934.64","21.08","4.34","32","156091"
"Theravance Biopharma","TBPH","2","18.5","937.44","171.88","70.37","69","544901"
"Tango Therapeutics","TNGX","2","10.33","1391.21","24.93","11.8","87","3368030"
"TriMas","TRS","2","32.85","1335.21","26.06","3.36","14","885278"
"Weave Communications","WEAV","2","5.99","467.37","66.67","42.86","75","1601392"
"WisdomTree, Inc.","WT","2","11.01","1549.27","25","1.87","72","2918434"
"X4 Pharmaceuticals","XFOR","2","3.8","332.26","58.37","34.47","87","702680"
